Date,DFII10,T10YIE,gold_oil_ratio,gold_copper_ratio,gold_log_ret,sp500_log_ret,gold_egarch_vol,sp500_egarch_vol
2008-09-10,1.7,1.95,7.388379907248341,242.64446871587307,-0.0378037910999067,0.0061305918718019,0.01311067547257605,0.01993659718532876
2008-09-11,1.67,1.97,7.3490628294653,236.4970430619928,-0.0221460978351437,0.013711937637729,0.014540102638852678,0.018259810016567363
2008-09-12,1.79,1.95,7.514330752122722,236.92737973904275,0.0253076909832312,0.0021192868823822,0.014993052147693602,0.016863827589198906
2008-09-15,1.7,1.77,8.182007972801062,245.94848361591127,0.0295472944018708,-0.0482829846790577,0.01610408646295383,0.015496148261189968
2008-09-16,1.85,1.63,8.518924706540345,249.4378480352256,-0.008463727991975,0.017371525271792,0.017470046382138185,0.023775725446155086
2008-09-17,1.81,1.6,8.713461750476405,275.6756588224809,0.086431656660304,-0.048288032671885,0.017012574931224166,0.02176274896740587
2008-09-18,1.94,1.6,9.120351831393807,288.38637196163614,0.0530222926105521,0.0424288063170985,0.02342529138578009,0.02849940845268833
2008-09-19,1.85,1.93,8.23146772324717,270.20407882170764,-0.0366207998237513,0.0394673779777461,0.026102232208776836,0.026173272524667578
2008-09-22,1.85,1.98,7.475190523499381,276.76056810781427,0.0490889697782126,-0.0389868045010182,0.026506250042118547,0.024110183122204382
2008-09-23,1.99,1.86,8.30597500169248,279.60214225902615,-0.0205663045911705,-0.0157561117321929,0.028606772128151336,0.028519897351312787
2008-09-24,2.05,1.75,8.408209323505151,284.7989734596548,0.0039447782910162,-0.0019796860163383,0.027989604382679806,0.028195288260295256
2008-09-25,2.09,1.79,8.125347523451984,279.03354876529795,-0.0127923720078557,0.0194658100360847,0.026610561930374,0.025777368627930616
2008-09-26,2.1,1.75,8.259893623870347,286.70239840809626,0.0059071080536137,0.003376721569392,0.025742122987852608,0.023539265662224085
2008-09-29,2.03,1.58,9.216561034481584,304.4387339846866,0.0059849850419002,-0.0921895923455364,0.024661274013782455,0.021398870017246767
2008-09-30,2.25,1.6,8.686407169205022,302.700834052249,-0.015887760208689,0.0527581580038249,0.023662172234458448,0.039416859218619774
2008-10-01,2.26,1.51,8.938394632276033,314.87309039243854,0.0074078632791412,-0.0045543441395912,0.02316072353262264,0.03574870737261175
2008-10-02,2.17,1.49,8.92838128233582,316.30538252543215,-0.0485063532048091,-0.0411249487185543,0.022367481944795847,0.032718641135082646
2008-10-03,2.18,1.45,8.829357143849768,306.43255001590046,-0.0121111564161573,-0.0135985657923445,0.023697529467712402,0.03610962419940987
